#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
group_24219_+1_1_321   -          1-cysPrx_C           PF10417.12     0.059   13.2   0.1      0.11   12.3   0.1   1.5   1   0   0   1   1   1   0 -
group_20130_+1_109_585 -          1-cysPrx_C           PF10417.12      0.15   11.9   1.3       6.9    6.6   0.6   2.8   3   0   0   3   3   3   0 -
group_8289_+1_1_504  -          17kDa_Anti_2         PF16998.8      2e-37  127.6   0.8   2.6e-37  127.2   0.8   1.1   1   0   0   1   1   1   1 -
group_10367_+1_1_462 -          17kDa_Anti_2         PF16998.8    1.7e-09   37.5   0.1   3.7e-09   36.4   0.0   1.4   1   1   0   1   1   1   1 -
group_6159_+1_1_456  -          17kDa_Anti_2         PF16998.8      0.084   12.7   2.0       1.3    8.9   0.1   2.2   1   1   1   2   2   2   0 -
group_1512_+1_1_927       -          2-Hacid_dh_C         PF02826.22   2.7e-07   30.1   0.0   3.9e-07   29.5   0.0   1.3   1   0   0   1   1   1   1 -
kefB_+1_163_1755          -          2-Hacid_dh_C         PF02826.22   1.5e-05   24.4   0.1    0.0068   15.7   0.0   2.4   2   0   0   2   2   2   2 -
group_22450_minus1_55_612 -          2-Hacid_dh_C         PF02826.22   4.4e-05   22.9   0.0   5.8e-05   22.5   0.0   1.2   1   0   0   1   1   1   1 -
group_16719_+1_1_906      -          2-Hacid_dh_C         PF02826.22   0.00039   19.8   0.1     0.027   13.8   0.0   2.2   2   0   0   2   2   2   1 -
group_13724_+1_1_912      -          2-Hacid_dh_C         PF02826.22    0.0028   17.0   0.2     0.016   14.5   0.0   2.1   2   0   0   2   2   2   1 -
group_20325_+1_1_1812     -          2-Hacid_dh_C         PF02826.22    0.0058   15.9   0.0     0.011   15.1   0.0   1.3   1   0   0   1   1   1   1 -
group_14957_+1_1_852      -          2-Hacid_dh_C         PF02826.22     0.024   13.9   0.1     0.036   13.4   0.1   1.3   1   0   0   1   1   1   0 -
group_23667_+1_1_1428     -          2-Hacid_dh_C         PF02826.22     0.026   13.8   0.0     0.053   12.8   0.0   1.4   1   0   0   1   1   1   0 -
group_4737_+1_1_855       -          2-Hacid_dh_C         PF02826.22      0.04   13.2   0.0       2.6    7.3   0.0   2.2   2   0   0   2   2   2   0 -
group_5499_+1_1_951       -          2-Hacid_dh_C         PF02826.22     0.094   12.0   0.0      0.17   11.2   0.0   1.3   1   0   0   1   1   1   0 -
group_23363_+1_1_930 -          2-oxoacid_dh         PF00198.26   2.9e-28   98.9   0.0   3.2e-16   59.5   0.0   2.1   2   0   0   2   2   2   2 -
group_11481_+1_1_774 -          2-oxoacid_dh         PF00198.26   0.00019   21.0   0.0       0.1   12.0   0.1   2.4   2   1   0   2   2   2   2 -
group_15809_+1_1_813 -          2-oxoacid_dh         PF00198.26    0.0049   16.3   0.0       0.6    9.5   0.0   2.2   2   0   0   2   2   2   2 -
group_12182_+1_1_948 -          2-thiour_desulf      PF04463.15      0.16   11.9   0.0      0.28   11.1   0.0   1.4   1   0   0   1   1   1   0 -
